OBJECTID,Request__,Status,Request_Type,Subrequest_Type,Additional_Subrequest_Type,Request_Origin,Contact_Type,Preferred_Language,State_Issue,Parent_Request,Address,City,Council_District,Latitude,Longitude,Date_Time_Opened,Date_Time_Closed,ZIP,GlobalID
11,932933,Closed,"Streets, Roads & Sidewalks",Traffic Light Timing,Traffic Light Timing,Phone,,,False,,"Old Lebanon Dirt Rd & Andrew Jackson Pkwy, Nashville, TN 37076, USA",HERMITAGE,12.0,36.1879552,-86.6077612,2022-04-01 21:01:29,2022-04-04 16:15:22,37076,b28fed68-e48d-4883-9316-5f3fa22e234c
12,811427,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-10-26 18:49:18,2021-10-26 18:49:18,,e2287c3b-933e-4f2f-820d-5686af73e55a
13,811442,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-10-26 19:00:57,2021-10-26 19:00:57,,9f9572c6-2520-4606-a11a-b0c1cc72149d
14,965876,Closed,Public Safety,Control Number Request for Towing,Control Number Request for Towing,Mobile App,,,False,,"Buena Vista Pike, Nashville, TN, USA",NASHVILLE,3.0,36.2228312,-86.8217586,2022-05-04 14:02:12,2022-05-04 14:02:12,37218,21e0fc70-d280-4d62-93f2-e6b5111b35e7
15,932945,New,"Streets, Roads & Sidewalks",Roadwork Complaint,Roadwork Complaint,hubNashville Community,,,False,,"215 6th Ave N, Nashville, TN 37219, United States",NASHVILLE,19.0,36.163,-86.782,2022-04-01 21:12:11,,37219,9c9d02cc-84d8-463e-84f8-d4222fa268ea
16,1032616,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2022-08-02 16:20:36,2022-08-02 16:20:36,,02ab5704-9ea5-4281-a1c7-ee4dcf516ce9
17,811431,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-10-26 18:51:30,2021-10-26 18:51:30,,a26e576c-f853-4e22-9413-970d582c5f57
18,811441,Closed,Property Violations,Tall Grass and Weeds,Tall Grass and Weeds,hubNashville Community,,,False,,"1613 18th Ave S, Nashville, TN 37212, United States",NASHVILLE,17.0,36.1380386,-86.79706279999999,2021-10-26 19:00:23,2021-11-11 08:22:03,37212,8d205187-df47-46d9-b8c7-8fe9e1b07171
19,811437,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-10-26 18:57:27,2021-10-26 18:57:27,,a4057af5-6d40-4a44-8b86-cc3ead0b5de3
20,811428,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-10-26 18:49:55,2021-10-26 18:49:55,,be334287-664e-443b-af64-032a03279573
21,811440,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-10-26 18:59:37,2021-10-26 18:59:37,,cac09923-fac2-4355-aaa9-cb0a75b279ba
22,811436,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-10-26 18:55:06,2021-10-26 18:55:06,,61732a9c-61e0-49b7-9040-5ff05c7d8ac9
23,707265,Closed,"Streets, Roads & Sidewalks",Illegal Dumping,Roadway,Phone,,,False,,River View Dr & River Rd,NASHVILLE,35.0,36.1339616,-86.9277518,2021-06-14 20:26:00,2021-06-16 20:16:00,37209,3a430027-4c62-430e-86a7-d921af2617b3
24,700734,Closed,"Streets, Roads & Sidewalks",Illegal Dumping,Roadway,hubNashville Community,,,False,,504 Oakley Dr,NASHVILLE,26.0,36.0599978,-86.758234,2021-06-05 18:03:00,2021-06-22 09:32:00,37220,d4f44dff-4bbc-46de-bece-6beaae379c66
25,708805,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-16 16:07:51,2021-06-16 16:07:51,,ebbdd1a9-45f4-411f-a3c0-5b4f8f12f77f
26,708553,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-16 13:25:24,2021-06-16 13:25:24,,9487c39a-5019-4fc6-9ca1-54dec8e9eb3e
27,709400,Closed,"Trash, Recycling & Litter",Missed Pickup - Trash Cart Service,Trash - Curbside/Alley Missed Pickup,,,,,,"2711 Sunset Pl, Nashville, TN 37212, USA",NASHVILLE,18.0,36.1291247,-86.81157979999999,2021-06-17 01:02:09,2021-06-21 20:26:36,37212,b352b70d-f835-4730-a75c-d296f229fb71
28,698503,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-03 13:03:34,2021-06-03 13:03:34,,afdbeb6e-639d-48aa-b4ca-9985c40dea39
29,703992,Closed,Property Violations,Tall Grass and Weeds,Tall Grass and Weeds,Phone,,,False,,"201 Chamberlin St, Nashville, TN 37209, United States",NASHVILLE,24.0,36.14531,-86.83037,2021-06-09 20:13:16,2021-09-16 07:11:10,37209,1c71b536-6786-40f1-9152-098d8f48626b
30,703558,Closed,Tree Trimming On or Near Power Lines,Tree Trimming,Tree Trimming,Phone,,,False,,1040 W Kirkland Ave,NASHVILLE,5.0,36.20903,-86.73529,2021-06-09 15:23:21,2021-06-09 19:45:21,37216,8ddb92ec-ff22-47b4-812e-945fe9ae6dc7
31,701976,Closed,"Trash, Recycling & Litter",Missed Pickup - Trash Cart Service,Trash - Curbside/Alley Missed Pickup,Phone,,,False,,"2218 Greenwood Ave, Nashville, TN 37206, United States",NASHVILLE,6.0,36.18776210000001,-86.7249698,2021-06-07 21:06:27,2021-06-08 20:21:56,37206,afb22afd-8bb7-43a0-a1c3-ee01bb128f9f
32,703711,Closed,Public Safety,Improperly Parked Vehicles,Improperly Parked Vehicles,Phone,,,False,,"6th Ave N, Nashville, TN , United States",NASHVILLE,19.0,36.17411,-86.78883,2021-06-09 16:47:14,2021-06-09 21:07:20,37208,805921c0-d00a-4690-8e23-d057df34d4f4
33,694289,Closed,"Trash, Recycling & Litter",Missed Pickup - Recycle Cart Service,Recycle - Curbside/Alley Missed Pickup,hubNashville Community,,,False,,4405 Granny White Pike,NASHVILLE,19.0,36.163,-86.782,2021-05-27 17:12:59,2021-06-03 20:18:35,37219,731689bb-17ba-4c04-8b50-b424a991c101
