Forecast_Number,Start_Time,End_Time,Temperature,Temperature_Unit,Precipitation_Probability,Wind_Speed,Wind_Direction,Short_Forecast,Latitude,Longitude
110,2026-09-28T06:00:00-05:00,2026-09-28T07:00:00-05:00,57,F,6,0 mph,,Mostly Sunny,36.1627,-86.7816
111,2026-09-28T07:00:00-05:00,2026-09-28T08:00:00-05:00,58,F,4,0 mph,,Mostly Sunny,36.1627,-86.7816
112,2026-09-28T08:00:00-05:00,2026-09-28T09:00:00-05:00,61,F,4,0 mph,,Mostly Sunny,36.1627,-86.7816
113,2026-09-28T09:00:00-05:00,2026-09-28T10:00:00-05:00,66,F,4,0 mph,,Mostly Sunny,36.1627,-86.7816
114,2026-09-28T10:00:00-05:00,2026-09-28T11:00:00-05:00,71,F,4,0 mph,,Mostly Sunny,36.1627,-86.7816
115,2026-09-28T11:00:00-05:00,2026-09-28T12:00:00-05:00,75,F,4,0 mph,,Mostly Sunny,36.1627,-86.7816
116,2026-09-28T12:00:00-05:00,2026-09-28T13:00:00-05:00,79,F,4,5 mph,ENE,Mostly Sunny,36.1627,-86.7816
117,2026-09-28T13:00:00-05:00,2026-09-28T14:00:00-05:00,82,F,7,5 mph,ENE,Sunny,36.1627,-86.7816
118,2026-09-28T14:00:00-05:00,2026-09-28T15:00:00-05:00,84,F,7,5 mph,ENE,Sunny,36.1627,-86.7816
119,2026-09-28T15:00:00-05:00,2026-09-28T16:00:00-05:00,85,F,7,5 mph,ENE,Sunny,36.1627,-86.7816
120,2026-09-28T16:00:00-05:00,2026-09-28T17:00:00-05:00,85,F,7,5 mph,NE,Sunny,36.1627,-86.7816
121,2026-09-28T17:00:00-05:00,2026-09-28T18:00:00-05:00,84,F,7,5 mph,NE,Sunny,36.1627,-86.7816
122,2026-09-28T18:00:00-05:00,2026-09-28T19:00:00-05:00,81,F,7,5 mph,NE,Mostly Clear,36.1627,-86.7816
123,2026-09-28T19:00:00-05:00,2026-09-28T20:00:00-05:00,78,F,4,5 mph,NE,Mostly Clear,36.1627,-86.7816
124,2026-09-28T20:00:00-05:00,2026-09-28T21:00:00-05:00,75,F,4,5 mph,ENE,Mostly Clear,36.1627,-86.7816
125,2026-09-28T21:00:00-05:00,2026-09-28T22:00:00-05:00,71,F,4,5 mph,E,Mostly Clear,36.1627,-86.7816
126,2026-09-28T22:00:00-05:00,2026-09-28T23:00:00-05:00,68,F,4,5 mph,E,Mostly Clear,36.1627,-86.7816
127,2026-09-28T23:00:00-05:00,2026-09-29T00:00:00-05:00,66,F,4,5 mph,E,Mostly Clear,36.1627,-86.7816
128,2026-09-29T00:00:00-05:00,2026-09-29T01:00:00-05:00,65,F,4,0 mph,,Mostly Clear,36.1627,-86.7816
129,2026-09-29T01:00:00-05:00,2026-09-29T02:00:00-05:00,64,F,3,0 mph,,Mostly Clear,36.1627,-86.7816
